지역구,어린이집명,주소
마포구,SK스토아 행복어린이집,"서울특별시 마포구 월드컵북로 402 2층(상암동,KGIT센터)"
용산구,용산소방서직장어린이집,서울특별시 용산구 한강대로 167 용산소방서
강남구,블랭크어린이집,서울특별시 강남구 선릉로93길 40 1층
강서구,LG이노텍 서울어린이집,서울특별시 강서구 마곡중앙10로 30 E3
강동구,아이뜰어린이집,"서울특별시 강동구 고덕로80길 99 517동 103호(상일동, 고덕센트럴아이파크아파트)"
중구,키즈일레븐어린이집,서울특별시 중구 한강대로 416 2층
강동구,구립아르테온보나어린이집,서울특별시 강동구 고덕로 360 고덕아르테온 339동 인근 관리동
동작구,유한버들새싹어린이집,서울특별시 동작구 노량진로 74 유한양행
강서구,구립 엠밸리큰나무어린이집,서울특별시 강서구 마곡중앙8로1길 10
강동구,구립아르테온보예어린이집,서울특별시 강동구 고덕로 360 고덕아르테온아파트 319동 1층(상일동)
광진구,KB구의 어린이집,서울특별시 광진구 광나루로 525 3층
동작구,구립가온어린이집,서울특별시 동작구 상도로15가길 16
서초구,동고어린이집,서울특별시 서초구 바우뫼로7길 29 105동 102호
영등포구,늘봄보라매SK뷰어린이집,서울특별시 영등포구 여의대방로35가길 19
용산구,용산캐슬어린이집,"서울특별시 용산구 백범로 313 키즈클럽(효창동,롯데캐슬센터포레)"
금천구,구립독산e편한어린이집,서울특별시 금천구 범안로 1212
동작구,구립꿈담어린이집,서울특별시 동작구 상도로47아길 44-1 2층
송파구,가락아이들어린이집,서울특별시 송파구 중대로12길 34 (가락동)
구로구,새빛어린이집,서울특별시 구로구 연동로 233
성동구,구립 행당한신어린이집,"서울특별시 성동구 고산자로 164 관리동 2층(행당동, 행당한신)"
구로구,항동하랑어린이집,서울특별시 구로구 항동로 42
송파구,삼성아트어린이집,서울특별시 송파구 문정로 83
송파구,파인13어린이집,"서울특별시 송파구 송파대로8길 10 (장지동, 송파파인타운13단지)"
중구,아이다움어린이집,서울특별시 중구 난계로 130 102동 102호
송파구,잠실올림픽아이파크어린이집,"서울특별시 송파구 올림픽로43길 34 관리동 1층(풍납동, 잠실올림픽공원아이파크)"
강서구,구립 아이나무어린이집,서울특별시 강서구 화곡로13가길 5
강서구,구립 하늘마음어린이집,서울특별시 강서구 초록마을로 106
은평구,구립 가람슬기어린이집,서울특별시 은평구 연서로19길 28-1
중랑구,면목공동육아방,서울특별시 중랑구 동일로 591
중랑구,중화공동육아방,서울특별시 중랑구 중랑역로3길 28
중랑구,아이신나공동육아방,서울특별시 중랑구 면목로31길 60
동작구,구립도레미어린이집,서울특별시 동작구 흑석로13길 25
마포구,마포구육아종합지원센터(모아뜰공동육아방),서울특별시 마포구 성산로4길 15
성북구,바람아래발도르프어린이집,서울특별시 성북구 길음로9길 40 108동 101호
